id,submission_time,view_number,vote_number,title,message,image
2,1493068124,15,9,Wordpress loading multiple jQuery Versions,"I developed a plugin that uses the jquery booklet plugin (http://builtbywill.com/booklet/#/) this plugin binds a function to $ so I cann call $('.myBook').booklet();

I could easy managing the loading order with wp_enqueue_script so first I load jquery then I load booklet so everything is fine.

BUT in my theme i also using jquery via webpack so the loading order is now following:

jquery
booklet
app.js (bundled file with webpack, including jquery)",images/image1.png
3,1493015432,1364,57,Drawing canvas with an image picked with Cordova Camera Plugin,"I'm getting an image from device and drawing a canvas with filters using Pixi JS. It works all well using computer to get an image. But when I'm on IOS, it throws errors such as cross origin issue, or that I'm trying to use an unknown format.

This is the code I'm using to draw the image (that works on web/desktop but not cordova built ios app)",
app.js (bundled file with webpack," including jquery)""",images/image1.png,,,,
4,,,,,,
5,blabnla,blabla,blabla,,,
7,sgjtyk,tjtykuykuil,25555,1,seydtfio5i6ut,
8,sgjtyk,tjtykuykuil,25555,1,seydtfio5i6ut,
9,swweasdcver,03123,51564654654,dareg,34ergh,
10,hytjyum,tdykuiuyjyuk,tydkuiulil,yfukiulilli,yukuloi;i;i,
id,submission_time,view_number,vote_number,title,message,images
1,ioana,maria,andrei,alin,stuff,../static/images/Screenshot.jpg
